,도로명,위도,경도,"아파트,연립다세대",단독주택,노상,백화점,슈퍼마켓,편의점,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,창고,유원지,학교,금융기관,의료기관,종교기관,주차장
55220,양지8길,37.470386,126.9299748,,,,,,,,,,,,,,,,,,,
55228,난곡로40길,37.4753436,126.917463,,,,,,,,,,,,,,,,,,,
55230,난곡로53길,37.4786392,126.9141921,,,,,,,,,,,,,,,,,,,
55278,남부순환로247가길,37.4769568,126.9657145,,,,,,,,,,,,,,,,,,,
55289,신림로41길,37.4767942,126.9348311,,,,,,,,,,,,,,,,,,,
55292,신림로54길,37.4803962,126.9312502,,,,,,,,,,,,,,,,,,,
55296,국회단지14길,37.4890727,126.9427214,,,,,,,,,,,,,,,,,,,
55304,봉천로21다길,37.4895779,126.9345209,,,,,,,,,,,,,,,,,,,
55330,은천로6길,37.48578,126.9390561,,,,,,,,,,,,,,,,,,,
55332,승방2길,37.4748441,126.9811258,,,,,,,,,,,,,,,,,,,
55348,방천길,37.4733808,126.9326428,,,,,,,,,,,,,,,,,,,
55353,신림로18길,37.4715644,126.9363059,,,,,,,,,,,,,,,,,,,
55358,양지12길,37.4684917,126.9287645,,,,,,,,,,,,,,,,,,,
55363,양지16길,37.4702472,126.9307995,,,,,,,,,,,,,,,,,,,
55375,양지6길,37.4702166,126.9303997,,,,,,,,,,,,,,,,,,,
55376,양지3길,37.4707511,126.9311485,,,,,,,,,,,,,,,,,,,
55392,양지4길,37.4702859,126.9311776,,,,,,,,,,,,,,,,,,,
55420,남부순환로241길,37.4792177,126.9628467,,,,,,,,,,,,,,,,,,,
55424,태흥길,37.4665288,126.9304158,,,,,,,,,,,,,,,,,,,
55434,남부순환로256가길,37.4754819,126.9726641,,,,,,,,,,,,,,,,,,,
55435,승방7길,37.4725617,126.9797612,,,,,,,,,,,,,,,,,,,
55487,장군봉13길,37.4797861,126.9398798,,,,,,,,,,,,,,,,,,,
55511,난곡로63가길,37.4808221,126.9141637,,,,,,,,,,,,,,,,,,,
55513,은천로35마길,37.4884642,126.9532998,,,,,,,,,,,,,,,,,,,
55529,난곡로22길,37.4690569,126.920459,,,,,,,,,,,,,,,,,,,
55535,은천로1길,37.4868664,126.9363827,,,,,,,,,,,,,,,,,,,
55548,약수암1길,37.459972,126.9332162,,,,,,,,,,,,,,,,,,,
55575,조원로20길,37.4837438,126.9131169,,,,,,,,,,,,,,,,,,,
55590,광신1길,37.4685565,126.9291424,,,,,,,,,,,,,,,,,,,
55615,봉천로62길,37.4777963,126.9588307,,,,,,,,,,,,,,,,,,,
55635,호암로22가길,37.46829,126.9332958,,,,,,,,,,,,,,,,,,,
55636,남현12길,37.4717989,126.97266,,,,,,,,,,,,,,,,,,,
55648,법원단지36길,37.4757006,126.9253527,,,,,,,,,,,,,,,,,,,
55669,봉천로6길,37.4882036,126.9258835,,,,,,,,,,,,,,,,,,,
