,도로명,총유동인구수,남성유동인구수,여성유동인구수
153,동산로19길,3587787,1806161,1781625
154,동산로10길,2725883,1344154,1381729
155,동광로39길,3231051,1406845,1824207
156,동광로1길,4548182,2088267,2459916
157,동광로12길,5647876,2529806,3118069
158,논현로27길,2716694,1362904,1353790
159,논현로1길,3229829,1586489,1643340
160,남부순환로339길,2536541,1300952,1235589
161,남부순환로325길,3223490,1633520,1589970
162,남부순환로317길,3569133,1767137,1801997
163,고무래로8길,2887091,1355116,1531976
164,강남대로8길,2797605,1413496,1384110
165,강남대로34길,3477455,1690965,1786492
166,강남대로23길,1264607,657543,607066
167,소담길,6960055,3363848,3596207
168,원신길,3005214,1597053,1408161
169,양지길,3522214,1862239,1659976
170,양산길,3073823,1580925,1492898
171,호암로24길,7392121,4350307,3041816
172,호암로20길,7397982,4377868,3020114
173,행운길,7597821,3612256,3985565
174,행운1길,7262517,3464570,3797946
175,청림3길,6092471,2838328,3254145
176,청룡길,8027497,3800919,4226577
177,청룡8길,6723525,3240659,3482865
178,중앙길,9284950,4286286,4998665
179,조원중앙로2길,5331803,2616824,2714979
180,조원로18길,4577563,2219709,2357855
181,조원로10길,6092344,3177452,2914891
182,장군봉2길,4881286,2391838,2489448
183,장군봉1길,5938894,2869302,3069592
184,인헌길,4808860,2158591,2650269
185,은천로25길,4575206,2057964,2517242
186,양녕로6길,8366240,3905834,4460406
187,신원로3길,7451742,3642555,3809187
188,신사로20길,4276875,2054535,2222340
189,신림로65길,8183079,4154006,4029073
190,신림로64길,6112939,3110997,3001942
191,신림로48길,3828049,1913759,1914290
192,신림로38길,4998260,2508401,2489859
193,신림로28길,5766857,3238138,2528718
194,신림로11길,5284767,3205757,2079010
195,신림동길,8219067,4186842,4032225
196,승방길,4810476,2253980,2556497
197,서림7길,4252672,2382923,1869749
198,봉천로33길,7728186,3609856,4118328
199,봉천로13길,5030943,2419231,2611713
200,복은길,5497059,2893753,2603304
201,법원단지길,4869522,2277699,2591825
202,법원단지9길,5316286,2470343,2845944
203,미성5길,4578603,2159129,2419474
204,대학길,5845732,3584371,2261361
205,대학14길,4382152,2673180,1708972
206,당곡길,4135775,2004682,2131092
207,남현길,6284916,2906388,3378528
208,남현3길,6471707,3029774,3441932
209,남현2길,7892653,3641671,4250981
210,남부순환로248길,4581013,2092690,2488322
211,남부순환로234길,4117127,1998387,2118740
212,남부순환로172길,5929340,2908902,3020438
213,남부순환로161길,5592299,2707362,2884937
214,남부순환로151길,5068009,2443175,2624835
215,남부순환로142길,3828944,1838503,1990439
216,난향길,1356338,635859,720478
217,난우길,5448224,2539735,2908490
218,난곡로74길,4940549,2382296,2558254
219,난곡로34길,4653309,2190648,2462661
220,난곡로26길,3704027,1763121,1940905
221,난곡로24길,2822558,1342896,1479660
222,낙성대역길,5699120,2688435,3010684
223,국회단지길,5902205,2761649,3140556
224,구암길,3542114,1616700,1925414
225,관천로22길,6613517,3286683,3326834
226,관천로15길,6482728,3152889,3329841
227,관악로30길,5251972,2438511,2813462
228,관악로28길,5042344,2360614,2681730
229,관악로14길,6663415,3204135,3459282
230,관악로10길,5121200,2465968,2655233
231,흑석로9길,2322340,1090227,1232112
232,흑석로13길,2270157,1050053,1220105
233,장승배기로27길,4587594,2371403,2216192
234,장승배기로19길,4576715,2233054,2343662
235,장승배기로10길,4457189,2051792,2405398
236,여의대방로46길,2883138,1393801,1489337
237,여의대방로24길,3608250,1694363,1913888
238,여의대방로22카길,4349060,2002664,2346396
239,여의대방로22나길,2522283,1182162,1340121
240,여의대방로22길,3283028,1528789,1754238
241,양녕로26길,3553435,1586696,1966739
242,신대방길,3526296,1667858,1858439
243,성대로29길,5359669,2410698,2948971
244,성대로1길,4778064,2145563,2632501
245,서달로8가길,3517018,1587349,1929670
246,서달로15길,1916837,868281,1048556
247,서달로14길,2437317,1090624,1346694
248,서달로10길,4028611,1815981,2212629
249,상도로62길,5094385,2385640,2708746
250,상도로61길,3794154,1830964,1963190
251,상도로47길,4441714,2054226,2387488
252,상도로37길,4278062,1962592,2315469
253,상도로15길,5842651,2660317,3182334
254,사당로8길,5636800,2588096,3048705
255,사당로30길,3806771,1728043,2078728
256,사당로2차길,2784335,1290767,1493568
257,사당로29길,4769628,2179664,2589964
258,사당로26길,5088744,2320913,2767832
259,사당로23나길,2616586,1189606,1426980
260,사당로23길,3041006,1375101,1665906
261,사당로20길,5392393,2478284,2914109
262,사당로16길,6850455,3153767,3696687
263,사당로16가길,5407991,2474568,2933424
264,만양로8길,5741923,2964496,2777427
265,만양로14길,3813778,2034750,1779030
266,등용로14길,3049866,1533719,1516148
267,동작대로7길,7327314,3410794,3916520
268,동작대로35길,4798436,2222175,2576261
269,동작대로33길,6119143,2817763,3301380
270,동작대로29길,4371625,2009391,2362234
271,동작대로17길,4613528,2102308,2511219
272,대방동2길,3228251,1483672,1744578
273,대방동27길,2892109,1357249,1534859
274,노량진로6길,4551758,2266470,2285286
275,국사봉길,6445641,2933688,3511953
276,국사봉2길,4547394,2046831,2500562
277,국사봉1길,5862269,2631829,3230441
278,영신로9길,5258067,2551113,2706954
279,영등포로84길,5133579,2473050,2660528
280,영등포로80길,4973179,2398073,2575106
281,영등포로62길,3642229,1864194,1778033
282,영등포로35길,3472260,1744437,1727823
283,영등포로27길,4098929,2016660,2082269
284,영등포로25길,3374882,1652716,1722167
285,여의대방로61길,2451405,1248644,1202760
286,여의대방로43나길,4862617,2279684,2582933
287,여의대방로39길,2506338,1179283,1327055
288,여의대방로35길,4149634,1946193,2203442
289,양평로28길,1329506,669894,659612
290,양평로22라길,1762650,889676,872974
291,양평로19길,2977363,1500193,1477171
292,신길로60길,5344366,2653298,2691068
293,신길로42길,4844712,2303525,2541189
294,신길로42가길,7015524,3387049,3628475
295,신길로39길,5184226,2486236,2697991
296,신길로17길,5610155,2645761,2964394
297,선유서로28길,2860034,1421916,1438117
298,선유서로25길,2242148,1106439,1135709
299,선유서로24길,3065540,1509293,1556247
300,선유로55길,2226680,1124296,1102384
301,디지털로74길,6897585,3196407,3701177
302,디지털로57길,5982683,2912492,3070191
303,디지털로37길,5775207,2846975,2928232
304,도신로62길,5329958,2537553,2792406
305,도신로60길,4908323,2360471,2547853
306,도신로29길,4859495,2319185,2540310
307,도신로15길,4676391,2248409,2427982
308,도림천로21길,5160363,2606675,2553688
309,도림로63길,4092549,2002941,2089608
310,도림로147길,2301194,1141514,1159680
311,도림로112길,4986782,2376498,2610284
312,대림로8길,5963583,2803248,3160335
313,대림로7길,3023099,1475634,1547465
314,대림로44길,2976584,1474750,1501836
