도로명,카메라대수,위도,경도
관악로,12,37.47558679,126.9518496
낙성대동산58-1,4,37.47489669,126.9589981
조원로2길,5,37.48229224,126.9020237
남부순환로1455,4,37.48146603,126.9124003
난우10길,3,37.476123,126.9187626
미성길,4,37.47188111,126.9120785
남부순환로170길,4,37.48268497,126.9245925
신림동700-57,4,37.47000023,126.92000520000002
동광로49-31,5,37.47062478,126.9190903
문성로28길,4,37.4786946,126.9272898
대학7길,9,37.46853617,126.9400508
신림동300-8,3,37.46627057,126.9307058
은천로24길26,5,37.48571725,126.947981
청림5길,5,37.48923401,126.9597499
남부순환로1761,5,37.48260267,126.9464869
은천로25길,4,37.48909092,126.94862340000002
양녕로2가길,10,37.48592529,126.9475354
난곡로35길,4,37.46934289,126.918127
낙성대역길,5,37.47404896,126.9645824
남부순환로256길,4,37.47385487,126.9732169
남현2길,7,37.4750282,126.9741416
국회단지길,4,37.48644079,126.9398051
청룡2길,4,37.48123833,126.9440954
참숯5길,5,37.48090683,126.9405995
문성로38라길,4,37.47549427,126.9292398
낙성대로4길,5,37.47646174,126.95778529999998
신림로70길,2,37.48773425,126.9301319
청룡4길,5,37.48008749,126.9438852
남부순환로246길,5,37.47520347,126.9641471
난향동1736-10,3,37.46214932,126.9190691
서림길,3,37.47447203,126.9382182
신림로18길,1,37.47172852,126.9363487
난향3길,1,37.46178249,126.916206
남현4길,6,37.47501374,126.9751543
난우12길,2,37.4770987,126.9183334
당곡길,1,37.49073231,126.9289083
보라매로,6,37.49269505,126.926966
양녕로,4,37.48858059,126.9463223
문성로30길,1,37.47805312,126.9282479
솔밭로,4,37.47943617,126.9635368
행운1길,1,37.4817577,126.9564021
남부순환로156길,1,37.47865536,126.92024109999998
남부순환로152길,1,37.48006474,126.9188779
원신9길,1,37.46122913,126.9294463
신원동산159-33,1,37.47625089,126.9254312
보라매동산104-1,1,37.48947201,126.9390212
청룡동산149-8,1,37.4807547,126.93565990000002
신사동498,3,37.48833012,126.9148808
삼성동산57-14,3,37.45685298,126.9295683
청룡동산175-40,3,37.47649685,126.9509435
난곡동655-104,1,37.46788994,126.9207614
신사동501-30,1,37.48624049,126.9152719
서림동98-402,1,37.47524952,126.9427937
삼성동316-95,1,37.45928016,126.9329815
대학동1716-1,1,37.46791457,126.942415
남부순환로2076,2,37.47641345,126.980133
대학동205-1,4,37.46230362,126.9477881
관악산나들길114,2,37.45652999,126.9471459
국사봉길175,1,37.49249498,126.9349524
남부순환로194길,1,37.48135937,126.9346588
장군봉길,4,37.48147121,126.9366716
장군봉5길,1,37.48116875,126.9413438
남부순환로216길,1,37.48018588,126.9492618
난향7길,1,37.45886082,126.917401
문성로16다길,1,37.46764592,126.913497
인헌16다길,1,37.46831315,126.9638012
관악산나들길,2,37.46802993,126.945548
청룡12길,1,37.47777622,126.9447741
남부순환로246라길,2,37.47464617,126.9637102
관천로22길,2,37.48860748,126.925629
낙성대역14가길,1,37.47348909,126.96413429999998
낙성대역8길,2,37.47447325,126.9611728
남부순환로163가길,2,37.48483226,126.9207072
관악로15길,1,37.48046347,126.9491287
장군봉7길,1,37.48063484,126.9401712
서원3길,1,37.47661508,126.9332997
쑥고개로2라길,2,37.47589054,126.94068590000002
관악로6길,2,37.47587787,126.9535853
신림로31가길,1,37.47697373,126.9355708
남부순환로200다길,1,37.48272379,126.93563
서림3길,2,37.47250207,126.9404654
난우10가길,3,37.47624854,126.91948390000002
승방3나길,2,37.47298710000001,126.9802197
인헌3가길,1,37.47395933,126.9673659
대학동산24-9,2,37.46797618,126.9399623
조원동1661-15,1,37.48190677,126.9028852
행운동148-103,1,37.47922047,126.9623883
은천동942-29,1,37.48509822,126.9395461
삼성동321-5,1,37.46195671,126.9303319
미성동1482-1,1,37.48019649,126.9141403
미성동1563-56,1,37.47403416,126.9152504
낙성대동산56-3,1,37.47573517,126.9561031
대학동산32-23,1,37.46353082,126.948072
난향동산105-12,1,37.46575088,126.9172992
삼성동산68-2,1,37.46319264,126.9337484
미성동산197-3,1,37.47774206,126.917656
난향동산102-12,2,37.45766012,126.9185619
낙성대동291-8,1,37.47393166,126.9599771
낙성대동287,1,37.47322103,126.9597055
봉천로23바길,1,37.4888039,126.9376048
호암로20길,2,37.46749117,126.9342243
쑥고개로26길,1,37.46644889,126.9218573
남부순환로55-13,1,37.47521586,126.9708827
남부순환로168길,1,37.48189041,126.9240662
"연주대,삼성동산불감시",1,37.44241172,126.9653313
"모자봉,대학동산불감시",1,37.45241416,126.9466631
"삼성산,삼성동산불감시",1,37.45032292,126.9342377
"서울대,대학동산불감시",1,37.46242012,126.9560942
쑥고개로3길,1,37.47815974,126.9389661
성현동1712-6,1,37.49119516,126.9535998
봉천로19길31,1,37.48869889,126.9335906
대학동255-258,1,37.46414404,126.9353063
청룡동1555-16,1,37.47678062,126.9438504
낙성대역3길,1,37.4754572,126.9625381
난곡동산87-14,1,37.46575933,126.9238244
미성동산117-13,1,37.46968859,126.9125745
