,도로명,카메라대수,위도,경도,시군구코드
17001, 신림로44길 24,1,37.4785555,126.93516409999998,11620
17002, 남부순환로240길 20,3,37.47711289,126.9605956,11620
17003, 관악로14가길 69,5,37.47552157,126.95506950000001,11620
17004, 봉천로522-8,5,37.47858449,126.95556090000002,11620
17006, 신림로71길 45,4,37.48798077,126.9257294,11620
17007, 관천로24길 3,1,37.48879234,126.92241920000001,11620
17008, 관천로11길 13,5,37.48433352,126.92422260000001,11620
17009, 남부순환로151길 13,3,37.48299627,126.9172314,11620
17010, 조원로31길 49,5,37.48817468,126.91910530000001,11620
17011, 남부순환로161길 64,5,37.48520867,126.91877099999999,11620
17012, 난곡로66가길 28,3,37.48378568,126.9147304,11620
17013, 남부순환로149길 13,3,37.48277114,126.9160023,11620
17014, 남부순환로166길 61,4,37.48043463,126.92393340000001,11620
17015, 문성로32길 18,1,37.47862396,126.92879920000001,11620
17016, 문성로38다길 2,3,37.47576071,126.9300956,11620
17017, 문성로38길 25,1,37.47640722,126.9289281,11620
17018, 국회단지13길 16,5,37.48941406,126.941028,11620
17019, 국회단지6길 6,3,37.4881223,126.9406328,11620
17020, 국회단지5길 16,1,37.48806084,126.9395179,11620
17021, 봉천로 355,2,37.48433922,126.93980559999999,11620
17022, 봉천로25길 13,1,37.48574948,126.93797690000001,11620
17023, 은천로 6,5,37.48634056,126.9360757,11620
17024, 인헌9길 74,1,37.47241048,126.97100359999999,11620
17025, 인헌길 71,3,37.47242289,126.9666387,11620
17026, 인헌1나길 17,1,37.47337155,126.969902,11620
17027, 인헌1길 59,1,37.47486453,126.97001170000001,11620
17028, 인헌16길 24,4,37.46988641,126.9666271,11620
17029, 낙성대역6길 14,5,37.47480181,126.96220590000001,11620
17030, 조원로6길 15,6,37.48269142,126.90471459999999,11620
17031, 조원로4길 33,4,37.48211292,126.9051494,11620
17032, 남부순환로145길 11,5,37.48207624,126.912218,11620
17033, 봉천로 471-1,1,37.48233475,126.95258229999999,11620
17034, 중앙길 83,1,37.48558297,126.95040549999999,11620
17035, 봉천로41길 10,5,37.48328685,126.94796709999999,11620
17066, 난곡로52길 16,4,37.47836946,126.91622679999999,11620
17067, 법원단지5나길 58,2,37.47639628,126.9218834,11620
17068," 미성3길 20, 신림동부센트레빌아파트 부근",5,37.47379633,126.91691409999999,11620
17069, 문성로16길 40,3,37.47486426,126.91319140000002,11620
17070, 미성7길 26,5,37.47427194,126.9136535,11620
17071, 봉천로13길 28,4,37.48987118,126.93068999999998,11620
17072, 보라매로3길 5,1,37.49129863,126.926533,11620
17073, 보라매로 14-5,4,37.49088397,126.9281331,11620
17074, 당곡6길 77,1,37.49311262,126.9313831,11620
17075, 당곡6길 41,4,37.49210332,126.9295392,11620
17076, 봉천로7길 25,2,37.49063061,126.9263124,11620
17077, 호암로18나길 27,5,37.46429343,126.93285619999999,11620
17078, 호암로16길 70,1,37.46556777,126.9331702,11620
17079," 호암로 528, 농협하나로마트 부근",4,37.46469588,126.9315369,11620
17080, 약수암길 8,4,37.46100702,126.9322949,11620
17081, 양지길 28,2,37.47144924,126.93125220000002,11620
17082, 쑥고개로2다길 17,5,37.47627005,126.9396876,11620
17083, 남부순환로192길 17,1,37.4769122,126.93552240000001,11620
17084, 신림로36길 25,5,37.47598183,126.9387483,11620
17085, 신림로38길 6,5,37.47657627,126.9377913,11620
17086, 복은12길 13,5,37.47462974,126.94185470000001,11620
17087, 서원길 4,3,37.47749693,126.93282409999999,11620
17088, 서원5길 36,1,37.47632048,126.9346501,11620
17089, 문성로40길 24,4,37.47743135,126.93120790000002,11620
17090, 신림로48길 6,3,37.479091,126.93242079999999,11620
17091, 구암길 76,3,37.49182,126.94692659999998,11620
17092, 관악로37길 63,1,37.48698336,126.95606070000001,11620
17093, 은천로35바길 17,1,37.48821956,126.95514479999999,11620
17094, 은천로35길 52,5,37.48837014,126.95388600000001,11620
17095," 성현로 53, 구암중학교 부근",4,37.49221813,126.9489399,11620
17253, 신림로28길 59,4,37.47207027,126.9367369,11620
17254, 복은길 60,5,37.47460297,126.9391541,11620
17255, 복은7길 1,4,37.47474846,126.9402412,11620
17256, 난곡로45길 5,4,37.47642475,126.9157101,11620
17257, 남부순환로144길 65,5,37.47856822,126.9141232,11620
17258, 문성로 206,5,37.47908211,126.9265092,11620
17259, 관악로14길 38-9,4,37.47841637,126.9543908,11620
17260, 남부순환로234길 72,5,37.47638763,126.95613370000001,11620
17261, 낙성대로 12,1,37.47726713,126.95913359999999,11620
17262, 청림6길 16,1,37.4742728,126.9604368,11620
17263, 법원단지21길 2,5,37.47492625,126.92280729999999,11620
17264, 법원단지길 138,3,37.47570943,126.9242106,11620
17265, 법원단지22길 34,1,37.47364015,126.92396979999998,11620
17266, 난곡로34다길 3,1,37.47207427,126.92244860000001,11620
17267, 난곡로26나길 33,1,37.46865733,126.9234215,11620
17268, 난곡로26나길 57,5,37.46752973,126.92282639999999,11620
17269, 난곡로35나길 10,1,37.47275349,126.9181587,11620
17270, 난향길 70,5,37.46283034,126.91558490000001,11620
17271, 난향2길 5,5,37.46316475,126.9185246,11620
17272, 난곡로9길 38,1,37.46374444,126.9178135,11620
17273, 남현12길 37,5,37.47219054,126.9720775,11620
17274, 남부순환로260길 41,4,37.47450691,126.97237340000002,11620
17275, 남현12길 18,5,37.4716712,126.9729274,11620
17276, 남현길 106,4,37.47253163,126.974772,11620
17277, 남현6길 45,1,37.47310877,126.97398030000001,11620
17278, 호암로22길 11,5,37.46902206,126.933227,11620
17279, 대학6길 25,5,37.46905946,126.93642279999999,11620
17280, 신림로 67,3,37.46995749,126.9414749,11620
17281, 신림로3가길 46,4,37.46889528,126.9420767,11620
17282, 대학10길 3-3,1,37.46753497,126.9376382,11620
17284, 밤골길 6,5,37.46202243,126.93178059999998,11620
17285, 광신길 154,3,37.46485744,126.9267517,11620
17286, 난곡로 186,3,37.47198482,126.91998240000001,11620
17287, 난곡로25가길 18,3,37.4700542,126.91847790000001,11620
17288, 법원단지2길 9,4,37.4737186,126.9195813,11620
17289, 난우길 34-4,4,37.47587344,126.9181953,11620
17290, 광신길 177,1,37.46698133,126.92673059999998,11620
17291, 당곡2가길 21,3,37.49157053,126.93014869999999,11620
17292, 양녕로6나길 30,4,37.48552653,126.94969990000001,11620
17293, 청림3길 37,4,37.48979825,126.9585229,11620
17294, 남부순환로151길 65,5,37.48441531,126.9146429,11620
17295, 양녕로6다길 3,4,37.4838374,126.94979609999999,11620
17296, 청림3다길 15,4,37.49019114,126.9578807,11620
17297, 관악로 125,4,37.47558679,126.9518496,11620
17298, 낙성대동 산58-1,4,37.47489669,126.95899809999999,11620
17299, 남부순환로260길 15,4,37.47496388,126.97347859999998,11620
17300, 관천로11길 69,5,37.48361585,126.9205629,11620
17301, 조원로2길 32,5,37.48229224,126.9020237,11620
17302, 남부순환로 1455,4,37.48146603,126.9124003,11620
17303, 난우10길 13,3,37.476123,126.9187626,11620
17304, 미성길 127,3,37.47188111,126.91207849999999,11620
17305, 남부순환로170길 6,4,37.48268497,126.9245925,11620
17306, 난곡로 178,4,37.47087898,126.9199365,11620
17307, 신림동 700-57,4,37.47000023,126.92000520000002,11620
17308, 동광로49-31,5,37.47062478,126.9190903,11620
17309, 문성로 212,4,37.47923089,126.9270186,11620
17310, 문성로28길 9,4,37.4786946,126.92728980000001,11620
17311, 대학7길 43,5,37.46853617,126.9400508,11620
17312, 봉천로41길 28,5,37.48407466,126.94808379999999,11620
17313, 신림동 300-8,3,37.46627057,126.9307058,11620
17387, 은천로24길 26,5,37.48571725,126.947981,11620
17388, 호암로 498,1,37.46334496,126.9317162,11620
17389, 당곡2가길 11,3,37.49118772,126.92982260000001,11620
17390," 청림5길 22, 은비유치원 부근",4,37.48923401,126.9597499,11620
17391," 남부순환로 1761, 남서울유치원 부근",5,37.48260267,126.9464869,11620
17392, 행운1라길 8,1,37.48325145,126.9563985,11620
17393," 은천로25길 69, 새소슬유치원 부근",4,37.48909092,126.94862340000002,11620
17394," 구암길 65, 소슬유치원 부근",3,37.49059124,126.94796770000002,11620
17395, 청림5길 87,1,37.49195831,126.95951380000001,11620
17396, 광신길 111,1,37.46383063,126.92572320000001,11620
17397," 호암로 545, 미림어린이집 부근",4,37.46627172,126.9312805,11620
17398, 양녕로2가길 41,5,37.48592529,126.9475354,11620
17399, 난곡로35길 102,1,37.46934289,126.918127,11620
17400, 관악로 461,4,37.47780671,126.95119809999998,11620
17401, 낙성대역길 105,5,37.47404896,126.9645824,11620
17402, 남부순환로 256길 46,4,37.47385487,126.9732169,11620
17403, 남현2길 65-7,3,37.4750282,126.9741416,11620
17404, 봉천로 505,4,37.4805268,126.95587179999998,11620
17405, 행운1라길 29,3,37.48258943,126.9573305,11620
17406, 국회단지길 6-7,3,37.48644079,126.9398051,11620
17407, 청룡2길 35-8,4,37.48123833,126.94409540000001,11620
17408, 참숯5길 21,5,37.48090683,126.9405995,11620
17409, 문성로38라길 14,4,37.47549427,126.9292398,11620
17410, 대학7길 35,4,37.46846593,126.93963400000001,11620
17411, 낙성대로4길 30,5,37.47646174,126.95778529999998,11620
17456, 신림로70길 20,1,37.48773425,126.9301319,11620
17457," 청룡4길 49, 관악초교 부근",5,37.48008749,126.9438852,11620
17458, 남부순환로246길 25,5,37.47520347,126.96414709999999,11620
17459," 중앙길 105, 신봉초교 부근",4,37.48611457,126.94958929999999,11620
17460," 난곡로35길 68, 삼성아트빌아파트 부근",3,37.47029117,126.91745279999999,11620
17461, 남현2길 92,4,37.47427414,126.9727435,11620
17462, 난향동 1736-10(신림2차대우푸르지오108동앞),3,37.46214932,126.91906909999999,11620
17463," 난곡로 42, GS슈퍼마켓 부근",3,37.46038014,126.92074840000002,11620
17464," 은천로 69, 은천초교 부근",3,37.48646711,126.94336240000001,11620
17465, 서림길 40,3,37.47447203,126.93821820000001,11620
17466, 남현6길 13,1,37.47427683,126.97537630000001,11620
17467, 양녕로2가길 25,5,37.48465802,126.94732509999999,11620
17468, 신림로28길 81,4,37.47187468,126.9379657,11620
17469, 신림로18길 17,1,37.47172852,126.9363487,11620
17470, 난향3길 26,1,37.46178249,126.916206,11620
17471, 남현4길 27,5,37.47501374,126.9751543,11620
17472, 남부순환로144길 65,1,37.47847037,126.91323229999999,11620
17473, 난우길 40,5,37.47698843,126.91698159999999,11620
17474, 난우12길 22,1,37.4770987,126.91833340000001,11620
17475, 미성길 127,1,37.47245372,126.9121656,11620
17476, 당곡길 36,1,37.49073231,126.92890829999999,11620
17477, 보라매로 38,2,37.49269505,126.926966,11620
17478, 봉천로 275,4,37.48799776,126.9318332,11620
17479, 관악로 285,4,37.48994163,126.95354309999999,11620
17480," 양녕로 74, 구암초교 부근",4,37.48858059,126.9463223,11620
17481, 문성로30길 29,1,37.47805312,126.9282479,11620
17482, 청림3길 29,1,37.48946777,126.9585922,11620
17483, 솔밭로 21,3,37.47943617,126.9635368,11620
17484, 봉천로 497,1,37.48125077,126.9553048,11620
17485, 행운1길71,1,37.4817577,126.95640209999999,11620
19487, 남현4길 10(신앙촌상회앞),1,37.47525139,126.97644790000001,11620
19488, 남부순환로156길 39(문성터널위),1,37.47865536,126.92024109999998,11620
19489, 문성로 119(문성터널차량),1,37.47843186,126.9186446,11620
19490, 남부순환로152길 53(호림박물관옆등산로길),1,37.48006474,126.91887790000001,11620
19491, 원신9길 10(등산로길),1,37.46122913,126.9294463,11620
19492, 신원동 산 159-33,1,37.47625089,126.92543119999999,11620
19493, 보라매동 산 104-1,1,37.48947201,126.9390212,11620
19495, 청룡동 산 149-8,1,37.4807547,126.93565990000002,11620
19496, 호암로 399,1,37.46121817,126.924875,11620
19497, 호암로 399,1,37.46136106,126.924922,11620
19498, 신사동 498(공원내1),1,37.48833012,126.91488079999999,11620
19499, 신사동 498(공원내2),2,37.48623469,126.91135870000001,11620
19500, 삼성동 산 57-14(삼성산성지),3,37.45685298,126.9295683,11620
19501, 청룡동 산175-40(청룡산공원입구),3,37.47649685,126.95094350000001,11620
19502, 난곡동 655-104 (오성어린이공원),1,37.46788994,126.9207614,11620
19503, 신사동 501-30 (새빛어린이공원),1,37.48624049,126.91527190000001,11620
19504, 서림동 98-402 (서광어린이공원),1,37.47524952,126.9427937,11620
19505, 삼성동 316-95 (약수암어린이공원),1,37.45928016,126.9329815,11620
19506, 대학동 1716-1 (목화어린이공원),1,37.46791457,126.942415,11620
19507, 남부순환로 2076 (남현예술공원),1,37.47641345,126.98013300000001,11620
19508, 남부순환로 2076 (남현예술공원),1,37.47627275,126.9807871,11620
19509, 대학동 205-1 (관악산모험숲),1,37.46230362,126.94778810000001,11620
19510, 대학동 205-1 (관악산모험숲),1,37.46273998,126.94803459999999,11620
19511, 대학동 205-1 (관악산모험숲),1,37.4626973,126.948546,11620
19512, 대학동 205-1 (관악산모험숲),1,37.46221454,126.94851940000001,11620
19514, 승방1길 109-79(관음사 주변),1,37.46800499,126.9769017,11620
19515, 관악산나들길 114(무장애등산로2),1,37.45652999,126.94714590000001,11620
19516, 관악산나들길 114(무장애등산로3),1,37.45471388,126.94814299999999,11620
19517, 국사봉길 175(상도근린공원),1,37.49249498,126.9349524,11620
19518, 구암길 106(상도근린공원유아숲체험장),1,37.49365953,126.94833759999999,11620
19519, 성현로 91(상도근린공원2),1,37.49134873,126.9520835,11620
19520, 남부순환로194길 81-12(장군봉근린공원배드민턴장1),1,37.48135937,126.9346588,11620
19521, 국회단지길 130(상도근린공원국사봉체육관),1,37.49195145,126.9414535,11620
19522, 인헌길 161-21(인헌자락공원),1,37.46813193,126.9701989,11620
19523, 인헌길 169-6(군인APT둘레길),1,37.46815615,126.96935359999999,11620
19524, 성현로 117(까치산근린공원),1,37.48512642,126.9622429,11620
19525, 장군봉길 92-40(장군봉근린공원북쪽등산로입구),1,37.48147121,126.9366716,11620
19526, 장군봉5길 28(충효어린이공원),1,37.48116875,126.94134380000001,11620
19527, 장군봉길 93(장군봉근린공원입구),1,37.47893843,126.93902369999999,11620
19528, 남부순환로216길 19(송학어린이공원2),1,37.48018588,126.9492618,11620
19529, 남부순환로247길 26(까치산근린공원미술고뒤),1,37.47693819,126.96769340000002,11620
19530, 남부순환로251길 16-12(생태육교북쪽),1,37.47567532,126.97073219999999,11620
19531, 행운길 38(까치산근린공원),1,37.48331417,126.9603182,11620
19532, 솔밭로 28(까치산근린공원4),1,37.48025556,126.9649666,11620
19533, 난향7길 60(안전한산책로1),1,37.45886082,126.917401,11620
19534, 난곡로 55(안전한산책로4),1,37.45822172,126.92146580000001,11620
19535, 난곡로 55(안전한산책로5),1,37.45926819,126.92226090000001,11620
19536, 문성로16다길 133-69(선우공원4),1,37.46764592,126.91349699999999,11620
19537, 인헌16다길 14(관악산공원),1,37.46831315,126.9638012,11620
19538," 장군봉길 72(장군봉근린공원, 봉임중학교후문)",1,37.48161001,126.9381183,11620
19539," 낙성대로 77(낙성대공원, 반려견놀이터)",1,37.47081228,126.95923429999999,11620
19540, 관악산나들길 4(화장실입구),1,37.46802993,126.945548,11620
19541, 관악산나들길 4(지하음식점입구),1,37.46832312,126.9454603,11620
19542, 장군봉길 92-40(장군봉근린공원),1,37.47959612,126.9375368,11620
25448, 청룡12길 17-4 청룡공원,1,37.47777622,126.94477409999999,11620
25449, 법원단지길 158-11 보명공원,1,37.47575066,126.9257524,11620
25450, 법원단지길 158-11 보명공원,1,37.47545839,126.9256939,11620
25451, 국회단지19길 23 국지어린이공원,1,37.48995297,126.9405815,11620
25452, 국회단지19길 23 국지어린이공원,1,37.49009773,126.94044679999999,11620
25453, 남부순환로246라길 3 원당어린이공원,1,37.47464617,126.9637102,11620
25454, 남부순환로246라길 3 원당어린이공원,1,37.47482758,126.96342340000001,11620
25455, 남현길 41 예촌어린이공원,1,37.47474442,126.9768983,11620
25456, 남현길 41 예촌어린이공원,1,37.47446087,126.9765527,11620
25457, 남현길 41 예촌어린이공원,1,37.46921408,126.9646514,11620
25458, 관천로22길 63 새들어린이공원,1,37.48860748,126.925629,11620
25459, 관천로22길 63 새들어린이공원,1,37.48864772,126.9259222,11620
25460, 낙성대역14가길 3 교체어린이공원,1,37.47348909,126.96413429999998,11620
25461, 낙성대역8길 50-8 탑골공원,1,37.47447325,126.96117279999999,11620
25462, 남부순환로163가길 20 남부어린이공원,1,37.48483226,126.9207072,11620
25463, 남부순환로163가길 20 남부어린이공원,1,37.48507241,126.9204881,11620
